T2M,RH2M,PS,datetime,hour,month,T2M_diff,RH2M_diff,PS_diff,T2M_roll_mean,RH2M_roll_mean,PS_roll_mean,T2M_roll_std,RH2M_roll_std,PS_roll_std,T2M_roll_dev,RH2M_roll_dev,PS_roll_dev
24.22,97.38,981.2,2025-09-30 21:00:00,21,9,-0.3000000000000007,0.6099999999999994,0.20000000000004547,26.557916666666667,87.66166666666668,980.1083333333332,1.6924769067003027,7.488184702913796,0.8308804480237907,-2.3379166666666684,9.71833333333332,1.0916666666668107
23.86,98.35,981.1,2025-09-30 22:00:00,22,9,-0.35999999999999943,0.9699999999999989,-0.10000000000002274,26.452083333333334,87.99624999999999,980.125,1.7799364404067366,7.785616511012281,0.8471178759297443,-2.592083333333335,10.353750000000005,0.9750000000000227
23.69,98.27,980.7,2025-09-30 23:00:00,23,9,-0.16999999999999815,-0.0799999999999983,-0.39999999999997726,26.350416666666664,88.31916666666666,980.1375000000002,1.8667024614849457,8.051038235326708,0.8535412167922155,-2.660416666666663,9.950833333333335,0.5624999999998863
23.88,95.95,980.1,2025-10-01 00:00:00,0,10,0.18999999999999773,-2.319999999999993,-0.6000000000000227,26.2675,88.53083333333335,980.1416666666668,1.9320236068421022,8.186652932176276,0.8530847690914819,-2.3874999999999993,7.419166666666655,-0.04166666666674246
23.86,94.72,979.7,2025-10-01 01:00:00,1,10,-0.019999999999999574,-1.230000000000004,-0.39999999999997726,26.194166666666664,88.67208333333333,980.1541666666667,1.9901953512747919,8.265910075973766,0.8438932380158288,-2.3341666666666647,6.047916666666666,-0.4541666666666515
23.57,95.81,979.8,2025-10-01 02:00:00,2,10,-0.28999999999999915,1.0900000000000034,0.09999999999990905,26.11916666666667,88.835,980.1833333333334,2.055450689322378,8.370171158191347,0.8175608828513526,-2.549166666666668,6.9750000000000085,-0.38333333333343944
23.56,95.83,980.0,2025-10-01 03:00:00,3,10,-0.010000000000001563,0.01999999999999602,0.20000000000004547,26.054166666666664,88.97375,980.225,2.1123012727048818,8.460677232890855,0.7792136504903387,-2.494166666666665,6.856250000000003,-0.22500000000002274
23.77,94.44,980.1,2025-10-01 04:00:00,4,10,0.21000000000000085,-1.3900000000000006,0.10000000000002274,26.006249999999998,89.03583333333334,980.2624999999999,2.151821902482644,8.496513820472291,0.7488033932922106,-2.2362499999999983,5.404166666666654,-0.16249999999990905
23.67,94.5,980.3,2025-10-01 05:00:00,5,10,-0.09999999999999787,0.060000000000002274,0.1999999999999318,25.962500000000002,89.08291666666666,980.2875,2.1894554613865425,8.524660125403866,0.7391608050477487,-2.2925000000000004,5.417083333333338,0.012499999999931788
23.83,95.9,980.5,2025-10-01 06:00:00,6,10,0.1599999999999966,1.4000000000000057,0.20000000000004547,25.895416666666666,89.24708333333335,980.2999999999998,2.230441522224258,8.619881709654349,0.7401527457377397,-2.0654166666666676,6.6529166666666555,0.20000000000015916
25.01,89.54,980.8,2025-10-01 07:00:00,7,10,1.1800000000000033,-6.359999999999999,0.2999999999999545,25.82708333333333,89.41208333333334,980.2958333333335,2.231440320914104,8.584463204797425,0.7369025460571128,-0.8170833333333292,0.12791666666666401,0.5041666666664923
26.75,78.29,981.0,2025-10-01 08:00:00,8,10,1.7399999999999984,-11.25,0.20000000000004547,25.79958333333333,89.14125000000001,980.2833333333334,2.21509147748515,8.835491331286844,0.7215120998372903,0.9504166666666691,-10.851250000000007,0.7166666666665833
28.55,67.67,981.0,2025-10-01 09:00:00,9,10,1.8000000000000007,-10.620000000000005,0.0,25.784583333333334,88.75500000000001,980.2666666666668,2.194233508177733,9.564607312561508,0.6988603559855432,2.765416666666667,-21.085000000000008,0.7333333333332348
29.99,60.32,980.7,2025-10-01 10:00:00,10,10,1.4399999999999977,-7.350000000000001,-0.2999999999999545,25.80916666666667,88.15416666666665,980.2458333333334,2.239341744638257,10.849853501984182,0.6769362995807627,4.180833333333329,-27.834166666666654,0.4541666666666515
30.86,57.78,980.3,2025-10-01 11:00:00,11,10,0.870000000000001,-2.539999999999999,-0.40000000000009095,25.868333333333336,87.46208333333334,980.2208333333334,2.3552063819235434,12.210449188464864,0.6626555054533445,4.991666666666664,-29.68208333333334,0.07916666666653782
31.3,57.12,979.6,2025-10-01 12:00:00,12,10,0.4400000000000013,-0.6600000000000037,-0.6999999999999318,25.956666666666667,86.69083333333333,980.1875,2.518881164097393,13.506125153673405,0.6732868760480478,5.343333333333334,-29.570833333333333,-0.5874999999999773
31.41,57.24,979.0,2025-10-01 13:00:00,13,10,0.10999999999999943,0.12000000000000455,-0.6000000000000227,26.068749999999998,85.83291666666666,980.15,2.7004899917711533,14.69505580242052,0.7138383692817013,5.341250000000002,-28.59291666666666,-1.1499999999999773
31.22,57.9,978.5,2025-10-01 14:00:00,14,10,-0.19000000000000128,0.6599999999999966,-0.5,26.192083333333333,84.91166666666668,980.1125000000001,2.8673544527970254,15.732408993972998,0.7758935942723636,5.027916666666666,-27.011666666666677,-1.6125000000000682
30.87,59.82,978.5,2025-10-01 15:00:00,15,10,-0.34999999999999787,1.9200000000000017,0.0,26.320833333333336,83.95333333333333,980.0916666666667,3.0076943598581747,16.54489929717436,0.8128942745013426,4.549166666666665,-24.133333333333333,-1.591666666666697
30.52,62.02,978.6,2025-10-01 16:00:00,16,10,-0.3500000000000014,2.200000000000003,0.10000000000002274,26.46083333333333,82.91125000000001,980.0750000000002,3.1243892156737196,17.12031295744575,0.8399016505976027,4.05916666666667,-20.891250000000007,-1.4750000000001364
